name,size,price,index,category,days,am/pm
adidas-yeezy-boost-350-v2-cloud-white,11.0,275,0,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,10.0,269,1,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,9.0,265,2,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,11.0,275,3,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,12.0,269,4,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,7.0,320,5,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,11.0,274,6,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,12.0,268,7,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,12.0,267,8,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,12.0,266,9,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,11.0,274,10,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,7.0,320,11,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,10.0,269,12,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,9.5,274,13,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,10.5,274,14,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,8.0,285,15,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,13.0,280,16,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,14.0,277,17,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,11.5,274,18,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,11.0,274,19,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,5.0,349,20,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,12.0,265,21,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,7.0,320,22,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,8.5,273,23,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,10.0,269,24,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,9.5,274,25,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,7.0,319,26,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,8.0,285,27,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,12.5,320,28,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,10.5,265,29,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,9.0,265,30,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,9.0,291,31,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,9.0,252,32,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,11.0,274,33,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,4.5,354,34,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,12.0,265,35,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,9.0,268,36,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,9.5,273,37,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,11.0,273,38,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,13.5,296,39,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,10.0,303,40,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,7.0,320,41,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,9.5,298,42,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,7.0,320,43,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,8.0,285,44,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,5.5,376,45,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,9.5,297,46,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,10.5,274,47,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,8.0,285,48,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,11.0,306,49,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,5.5,376,50,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,8.0,278,51,yeezy,Friday,PM
adidas-yeezy-boost-350-v2-cloud-white,8.5,280,52,yeezy,Friday,PM
