category,size,max_price,count_sneakers,size
jordan,4.0,349,1,4.0
jordan,4.5,443,5,4.5
jordan,5.0,775,5,5.0
jordan,5.5,750,11,5.5
jordan,6.0,795,10,6.0
jordan,6.5,1046,28,6.5
jordan,7.0,1090,359,7.0
jordan,7.5,1360,521,7.5
jordan,8.0,1050,1712,8.0
jordan,8.5,1103,1725,8.5
jordan,9.0,965,2060,9.0
jordan,9.5,895,2219,9.5
jordan,10.0,784,2173,10.0
jordan,10.5,707,1741,10.5
jordan,11.0,656,1675,11.0
jordan,11.5,689,766,11.5
jordan,12.0,627,1313,12.0
jordan,12.5,655,183,12.5
jordan,13.0,591,721,13.0
jordan,14.0,611,259,14.0
jordan,15.0,1099,96,15.0
jordan,16.0,664,29,16.0
jordan,17.0,350,16,17.0
jordan,18.0,340,2,18.0
yeezy,4.0,405,293,4.0
yeezy,4.5,396,253,4.5
yeezy,5.0,389,601,5.0
yeezy,5.5,455,639,5.5
yeezy,6.0,465,712,6.0
yeezy,6.5,440,585,6.5
yeezy,7.0,461,761,7.0
yeezy,7.5,364,660,7.5
yeezy,8.0,388,758,8.0
yeezy,8.5,406,838,8.5
yeezy,9.0,389,1136,9.0
yeezy,9.5,380,1011,9.5
yeezy,10.0,367,1126,10.0
yeezy,10.5,390,899,10.5
yeezy,11.0,393,918,11.0
yeezy,11.5,378,422,11.5
yeezy,12.0,397,624,12.0
yeezy,12.5,341,102,12.5
yeezy,13.0,340,252,13.0
yeezy,13.5,362,37,13.5
yeezy,14.0,380,131,14.0
yeezy,14.5,297,12,14.5
yeezy,16.0,399,37,16.0
yeezy,17.0,365,3,17.0
